FES2004;pytide
2n2;2N2
eps2;Eps2
j1;J1
k1;K1
k2;K2
l2;L2
la2;Lambda2
m2;M2
m3;M3
m4;M4
m6;M6
m8;M8
mf;Mf
mks2;MKS2
mm;Mm
mn4;MN4
ms4;MS4
msf;MSf
msqm;Msqm
mtm;Mtm
mu2;Mu2
n2;N2
n4;N4
nu2;Nu2
o1;O1
p1;P1
q1;Q1
r2;R2
s1;S1
s2;S2
s4;S4
sa;Sa
ssa;Ssa
t2;T2
